group	gene	expressedIn	meanExpression
InterstitialCellsOfCajal	Col6a1	0.733333333333333	1.26815583028513
InterstitialCellsOfCajal	Apoe	0.271428571428571	1.23238007112115
Fibroblasts1	Pdgfrb	0.446650124069479	1.01956087886185
Fibroblasts1	Pdgfra	0.997518610421836	3.14718098669448
Fibroblasts1	Col6a1	0.957816377171216	2.21029407150282
Fibroblasts1	Pdpn	0.416873449131514	1.19787956055016
Fibroblasts1	Apoe	0.468982630272953	1.50251498009581
Fibroblasts2	Pdgfrb	0.544662309368192	0.919934890498782
Fibroblasts2	Pdgfra	0.947712418300654	1.78201241934095
Fibroblasts2	Col6a1	0.993464052287582	2.64599854587572
Fibroblasts2	Pdpn	0.888888888888889	1.39911956606324
Fibroblasts2	Wt1	0.577342047930283	1.04459166405435
Fibroblasts2	Apoe	0.555555555555556	1.24086709257166
MesothelialCells1	Col6a1	0.951633986928105	1.66748338603213
MesothelialCells1	Pdpn	0.954248366013072	1.66707548676492
MesothelialCells1	Wt1	0.928104575163399	1.24212615028831
MesothelialCells1	Msln	0.956862745098039	2.40348300722233
MesothelialCells1	Epcam	0.619607843137255	0.991099754184248
MesothelialCells1	Apoe	0.831372549019608	1.11547229569344
MesothelialCells2	Pdgfra	0.330081300813008	0.719371631549606
MesothelialCells2	Col6a1	0.991869918699187	2.11549602750423
MesothelialCells2	Pdpn	0.983739837398374	1.81143054095974
MesothelialCells2	Wt1	0.949593495934959	1.31534534954825
MesothelialCells2	Msln	0.982113821138211	2.41634485227559
MesothelialCells2	Epcam	0.642276422764228	0.904647745032244
MesothelialCells2	Apoe	0.801626016260163	1.00261228996372
MesothelialCells3	Sox10	0.886363636363636	0.939604341241259
MesothelialCells3	Actg2	0.318181818181818	0.412499822784945
MesothelialCells3	Col6a1	1	1.73042071267505
MesothelialCells3	Pdpn	0.977272727272727	1.46865917783933
MesothelialCells3	Wt1	1	1.09201658769167
MesothelialCells3	Msln	1	2.16013922650527
MesothelialCells3	Epcam	0.659090909090909	0.847445251397839
MesothelialCells3	Apoe	1	3.00474886622929
MesothelialCells4	Pdgfra	0.3	0.686165023919227
MesothelialCells4	Col6a1	1	2.56596854609707
MesothelialCells4	Pdpn	1	2.03812513446849
MesothelialCells4	Wt1	0.966666666666667	1.45442167473275
MesothelialCells4	Msln	1	2.06010069173582
MesothelialCells4	Epcam	0.666666666666667	0.775653495577622
MesothelialCells4	C1qa	0.266666666666667	0.439108199284161
MesothelialCells4	Apoe	0.6	0.712604161076752
MesothelialCells5	Kdr	0.794871794871795	0.904478257701261
MesothelialCells5	Flt1	0.923076923076923	1.22811644935789
MesothelialCells5	Col6a1	1	1.77448579224627
MesothelialCells5	Pdpn	1	1.51012315372167
MesothelialCells5	Wt1	1	1.20250103139496
MesothelialCells5	Msln	1	2.1792289286151
MesothelialCells5	Epcam	0.435897435897436	0.646901584996024
MesothelialCells5	Apoe	0.948717948717949	1.40465099973811
EpithelialCells	Epcam	0.857142857142857	2.74403414941127
EpithelialCells	Fabp2	1	4.69092394590155
EpithelialCells	Apoe	0.714285714285714	1.27059796372226
EpithelialCells	S100a8	0.357142857142857	0.793346918555785
MuscularisMacrophages1	Ptprc	0.894179894179894	1.5383362427187
MuscularisMacrophages1	Itgam	0.739229024943311	1.42595547964303
MuscularisMacrophages1	Adgre1	0.498866213151927	0.969511419227133
MuscularisMacrophages1	C1qa	0.684051398337113	2.37763492679412
MuscularisMacrophages1	Apoe	0.797430083144369	2.59617083486605
MuscularisMacrophages1	Ly6c2	0.314436885865457	1.21836274885588
MuscularisMacrophages1	S100a8	0.300831443688587	1.17573637964948
MuscularisMacrophages2	Ptprc	0.938368055555556	1.72634278941406
MuscularisMacrophages2	Itgam	0.685763888888889	1.23243394644018
MuscularisMacrophages2	Adgre1	0.813368055555556	1.51356685271124
MuscularisMacrophages2	Fcrls	0.625	1.54206570636549
MuscularisMacrophages2	C1qa	0.967013888888889	3.8022469451496
MuscularisMacrophages2	Apoe	0.980902777777778	4.7705327640054
MuscularisMacrophages3	Lyve1	0.461206896551724	1.47873863960341
MuscularisMacrophages3	Ptprc	0.938577586206897	1.73587653424781
MuscularisMacrophages3	Itgam	0.742456896551724	1.25253975843658
MuscularisMacrophages3	Adgre1	0.919181034482759	1.70119499317016
MuscularisMacrophages3	Fcrls	0.915948275862069	1.88121012328976
MuscularisMacrophages3	C1qa	0.998922413793103	3.85438415074055
MuscularisMacrophages3	Apoe	1	5.15919491608462
MuscularisMacrophages4	Lyve1	0.443559096945551	2.11317654875395
MuscularisMacrophages4	Ptprc	0.900398406374502	1.49016264668133
MuscularisMacrophages4	Itgam	0.745019920318725	1.21500637215155
MuscularisMacrophages4	Adgre1	0.826029216467464	1.32558068773656
MuscularisMacrophages4	Fcrls	0.531208499335989	1.67865518558456
MuscularisMacrophages4	C1qa	0.933598937583001	3.38622270600802
MuscularisMacrophages4	Apoe	0.922974767596281	3.88243876884784
CyclingMacrophages	Ptprc	0.976683937823834	1.70936816115432
CyclingMacrophages	Itgam	0.676165803108808	0.95811496959635
CyclingMacrophages	Adgre1	0.733160621761658	1.12592102888475
CyclingMacrophages	Fcrls	0.531088082901554	1.54546475398407
CyclingMacrophages	C1qa	0.883419689119171	3.03919203414246
CyclingMacrophages	Apoe	0.89119170984456	3.26055726557432
CyclingMacrophages	Ly6c2	0.261658031088083	1.14841661016557
CyclingMacrophages	Cd3d	0.261658031088083	1.16680876467627
MonocyteMacrophages	Ptprc	0.962239583333333	2.01580030982794
MonocyteMacrophages	Itgam	0.6953125	1.32097093905796
MonocyteMacrophages	Adgre1	0.37109375	1.0369708751243
MonocyteMacrophages	C1qa	0.381510416666667	2.08323525986425
MonocyteMacrophages	Apoe	0.721354166666667	2.30253059903517
MonocyteMacrophages	Ly6c2	0.72265625	1.87438866539924
DendriticCells1	Kit	0.412121212121212	0.68305263490745
DendriticCells1	Ptprc	0.939393939393939	1.62017214112468
DendriticCells1	C1qa	0.406060606060606	1.72986674068581
DendriticCells1	Apoe	0.715151515151515	1.48884542267581
DendriticCells1	Clec9a	0.793939393939394	1.0606273783682
DendriticCells2	Ptprc	0.944341372912802	1.71293914870482
DendriticCells2	Itgam	0.495361781076067	1.078133283463
DendriticCells2	C1qa	0.359925788497217	1.83724032383832
DendriticCells2	Apoe	0.495361781076067	1.649200224304
DendriticCells2	Cd209a	0.743970315398887	2.32723036037823
DendriticCells2	Il7r	0.272727272727273	1.0442886896162
Neutrophils	Ptprc	0.978622327790974	1.94396853695599
Neutrophils	Itgam	0.878859857482185	1.35998772519759
Neutrophils	Adgre1	0.729216152019002	1.03533232073589
Neutrophils	Fcrls	0.339667458432304	1.17141829922695
Neutrophils	C1qa	0.817102137767221	2.51418725223116
Neutrophils	Apoe	0.909738717339667	2.72833160416635
Neutrophils	Ly6c2	0.446555819477435	1.07512338024122
Neutrophils	S100a8	0.890736342042755	3.40733191307859
Neutrophils	Cxcr2	0.862232779097387	1.55389212271973
OtherLymphoidCells	Kit	0.26171875	1.24238371335167
OtherLymphoidCells	Ptprc	0.9609375	1.99004046116046
OtherLymphoidCells	C1qa	0.3125	1.27783947676745
OtherLymphoidCells	Apoe	0.609375	1.66622679154148
OtherLymphoidCells	S100a8	0.26171875	1.22884726613796
OtherLymphoidCells	Il7r	0.83203125	1.76058896796214
OtherLymphoidCells	Cd3d	0.609375	1.96388055895638
OtherLymphoidCells	Cd4	0.35546875	1.24814867254388
OtherLymphoidCells	Tcrg-C1	0.40625	1.39597957130725
NaturalKillerCells	Ptprc	1	2.81234478220732
NaturalKillerCells	Apoe	0.341463414634146	1.54865323554002
NaturalKillerCells	Ncr1	0.809756097560976	1.68096880405995
TCells1	Ptprc	0.997014925373134	2.16815534408378
TCells1	Itgam	0.743283582089552	1.07248286823361
TCells1	Adgre1	0.644776119402985	0.963625933371644
TCells1	C1qa	0.797014925373134	2.1602062299541
TCells1	Apoe	0.883582089552239	2.41445403297753
TCells1	Ly6c2	0.605970149253731	1.2045414541555
TCells1	Cd209a	0.358208955223881	1.19940848268408
TCells1	S100a8	0.391044776119403	1.77463268675818
TCells1	Cxcr2	0.325373134328358	1.01850371846322
TCells1	Il7r	0.426865671641791	0.878027968415552
TCells1	Ncr1	0.316417910447761	0.821853488114528
TCells1	Cd3d	0.656716417910448	1.21358622770473
TCells1	Cd8a	0.385074626865672	0.981680942046212
TCells2	Ptprc	0.910714285714286	2.29161029346605
TCells2	Apoe	0.371428571428571	1.25130984342947
TCells2	Ly6c2	0.407142857142857	1.84343154727276
TCells2	Ncr1	0.307142857142857	1.29660856281537
TCells2	Cd3d	0.553571428571429	1.96291029595744
TCells2	Cd8a	0.4	1.55966101929053
TCells3	Epcam	0.270588235294118	1.1948998273368
TCells3	Ptprc	0.994117647058824	2.44698876150022
TCells3	C1qa	0.382352941176471	1.4198715513874
TCells3	Apoe	0.711764705882353	2.0326932986055
TCells3	Ly6c2	0.4	2.32898631818238
TCells3	S100a8	0.335294117647059	1.14022184457064
TCells3	Cd3d	0.941176470588235	2.28716065211976
TCells3	Cd8a	0.764705882352941	2.14724502514704
TCells3	Tcrg-C1	0.329411764705882	1.98475739259504
Bcells	Ptprc	0.622093023255814	1.97531579906521
Bcells	Apoe	0.645348837209302	1.76060211313737
Bcells	Ly6c2	0.319767441860465	2.05018214526989
Bcells	S100a8	0.308139534883721	0.98101713534645
Bcells	Cd79a	0.383720930232558	2.64259493695191
